IDX,Name,Abb,Smiles,Level,Similarity,RamaPic
0,M38,Me-Phe(3-Me),CN[C@@H](Cc1cccc(C)c1)C(=O)O,4,0.364797082,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M38.png
1,M326,,CCC(CC)[C@@H](NC)C(=O)O,4,0.332207683,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M326.png
2,M17,Me-Phe,CN[C@@H](Cc1ccccc1)C(=O)O,4,0.303797468,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M17.png
3,M20,Me-Hse(Me),CN[C@@H](CCOC)C(=O)O,4,0.298662063,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M20.png
4,M332,Asp,N[C@@H](CC(=O)O)C(=O)O,4,0.084593233,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M332.png
5,M205,,N[C@@H](CCc1cc(Cl)c(Cl)c(Cl)c1)C(=O)O,4,0.055092889,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M205.png
6,M83,Aze(2),O=C(O)[C@@H]1CCN1,4,0.053851175,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M83.png
7,M90,Aze(2)(3S-Me),C[C@H]1CN[C@@H]1C(=O)O,4,0.043619792,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M90.png
8,M91,1-ACPrC,NC1(C(=O)O)CC1,4,0.011274342,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M91.png
9,M299,cVal(3-F2),NC1(C(=O)O)CC(F)(F)C1,4,0.002901354,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M299.png
10,M513,,CN[C@@H](CCN1CCCC(F)(F)C1)C(=O)O,3,0.464621475,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M513.png
11,M572,,CN[C@@H](CCC1CN(C(=O)OC(C)(C)C)C1)C(=O)O,3,0.458125623,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M572.png
12,M544,,CN[C@@H](CCc1ccncc1)C(=O)O,3,0.44009901,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M544.png
13,M545,,CN[C@@H](CCc1cccnc1)C(=O)O,3,0.434613515,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M545.png
14,M500,,CN[C@@H](CC(=O)N1CCC(F)(F)CC1)C(=O)O,3,0.424299065,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M500.png
15,M546,,CN[C@@H](Cc1cccc(I)c1)C(=O)O,3,0.421052632,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M546.png
16,M13,Me-Ala(cBu),CN[C@@H](CC1CCC1)C(=O)O,3,0.418316832,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M13.png
17,M116,Me-Phe(4-CF3),CN[C@@H](Cc1ccc(C(F)(F)F)cc1)C(=O)O,3,0.416019417,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M116.png
18,M419,Me-Phe(3-CF3),CN[C@@H](Cc1cccc(C(F)(F)F)c1)C(=O)O,3,0.414903846,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M419.png
19,M15,Me-Ala(cPent),CN[C@@H](CC1CCCC1)C(=O)O,3,0.412030755,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M15.png
20,M44,Me-homoPhe,CN[C@@H](CCc1ccccc1)C(=O)O,3,0.404119667,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M44.png
21,M27,Me-Phe(3-F),CN[C@@H](Cc1cccc(F)c1)C(=O)O,3,0.402836879,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M27.png
22,M28,Me-Phe(3-Cl),CN[C@@H](Cc1cccc(Cl)c1)C(=O)O,3,0.399810516,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M28.png
23,M48,Me-Ala(2-Thie),CN[C@@H](Cc1cccs1)C(=O)O,3,0.396946565,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M48.png
24,M425,,CN[C@@H](Cc1ccccc1OC(F)(F)F)C(=O)O,3,0.392940084,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M425.png
25,M52,"Me-Phe(3,4-Cl2)",CN[C@@H](Cc1ccc(Cl)c(Cl)c1)C(=O)O,3,0.391241578,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M52.png
26,M506,,CN[C@@H](CCN1CC(F)(F)C1)C(=O)O,3,0.389644581,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M506.png
27,M43,Me-Nva(5-Cl2),CN[C@@H](CCC(Cl)Cl)C(=O)O,3,0.382141143,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M43.png
